"OTU","Stress.Mean.Decrease.Gini","Kingdom","Phylum","Class","Order","Family","Genus","Stress.RF.Rank","Enrichment.Stress","ASV.Family"
"ASV358",0.00471428571428571,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",159,"Stress Post","ASV358  ( Lachnospiraceae )"
"ASV122",0.0045,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia",162,"Naive Post","ASV122  ( Peptostreptococcaceae )"
"ASV185",0.0045,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor",162,"Stress Post","ASV185  ( Lachnospiraceae )"
"ASV19",0.0045,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter",162,"Stress Post","ASV19  ( Oscillospiraceae )"
"ASV229",0.0045,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,162,"Stress Post","ASV229  ( Lachnospiraceae )"
"ASV356",0.0045,"Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,162,"Stress Post","ASV356  ( NA )"
"ASV453",0.00447777777777778,"Bacteria","Firmicutes","Bacilli","RF39",NA,NA,165,"Stress Post","ASV453  ( NA )"
"ASV250",0.00428571428571429,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,166.5,"Naive Post","ASV250  ( Lachnospiraceae )"
"ASV255",0.00428571428571429,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,166.5,"Naive Post","ASV255  ( Lachnospiraceae )"
"ASV202",0.00416666666666666,"Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group",NA,NA,169.5,"Stress Post","ASV202  ( NA )"
"ASV221",0.00416666666666666,"Bacteria","Firmicutes","Bacilli","RF39",NA,NA,169.5,"Stress Post","ASV221  ( NA )"
"ASV264",0.00416666666666666,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae",NA,169.5,"Stress Post","ASV264  ( Erysipelotrichaceae )"
"ASV270",0.00416666666666666,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,169.5,"Stress Post","ASV270  ( Lachnospiraceae )"
"ASV562",0.00408333333333333,"Bacteria","Firmicutes","Bacilli","RF39",NA,NA,172,"Stress Post","ASV562  ( NA )"
"ASV272",0.00373333333333333,"Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,173.5,"Stress Post","ASV272  ( NA )"
"ASV400",0.00373333333333333,"Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,173.5,"Naive Post","ASV400  ( NA )"
"ASV308",0.00352777777777778,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","GCA-900066575",175,"Stress Post","ASV308  ( Lachnospiraceae )"
"ASV325",0.00346428571428571,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae Sedis",176,"Naive Post","ASV325  ( Ruminococcaceae )"
"ASV310",0.00338095238095238,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,177,"Stress Post","ASV310  ( Lachnospiraceae )"
"ASV320",0.00333333333333333,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,180,"Naive Post","ASV320  ( Lachnospiraceae )"
"ASV404",0.00333333333333333,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",180,"Stress Post","ASV404  ( Lachnospiraceae )"
"ASV566",0.00333333333333333,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus",180,"Naive Post","ASV566  ( Butyricicoccaceae )"
"ASV73",0.00333333333333333,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,180,"Stress Post","ASV73  ( Lachnospiraceae )"
"ASV804",0.00333333333333333,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,180,"Naive Post","ASV804  ( Enterobacteriaceae )"
"ASV475",0.003,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","GCA-900066575",183,"Naive Post","ASV475  ( Lachnospiraceae )"
"ASV435",0.00297619047619048,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-006",184,"Naive Post","ASV435  ( Lachnospiraceae )"
"ASV485",0.00285714285714286,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Anaerotruncus",185,"Stress Post","ASV485  ( Ruminococcaceae )"
"ASV1778",0.00266666666666667,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Nostoc PCC-7524",186,"Stress Post","ASV1778  ( Nostocaceae )"
